Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 3, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.01, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1640809418'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 3, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 1.0, 'lr': 0.01, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1640809418'}
Loaded pretrained weights.
#i	Loss	VTE	TV
110	0.05	-0.02(-0.02)	0.08(15.6)
110	-0.06	-0.06(-0.06)	0.0(526)
120	-0.03	-0.04(-0.04)	0.01(276)
120	0.01	-0.04(-0.04)	0.05(98.6)
120	0.08	-0.01(-0.01)	0.08(16.6)
120	-0.03	-0.04(-0.04)	0.0(669)
130	-0.07	-0.08(-0.08)	0.01(223)
130	-0.04	-0.08(-0.08)	0.05(97.7)
130	0.03	-0.04(-0.04)	0.06(13.0)
130	-0.07	-0.08(-0.08)	0.0(515)
140	-0.07	-0.08(-0.08)	0.01(230)
140	-0.03	-0.07(-0.07)	0.04(87.9)
140	0.05	-0.02(-0.02)	0.07(13.5)
140	-0.07	-0.08(-0.08)	0.0(506)
150	-0.04	-0.05(-0.05)	0.01(251)
150	0.01	-0.04(-0.04)	0.05(102)
150	0.06	-0.01(-0.01)	0.07(14.5)
150	-0.05	-0.05(-0.05)	0.0(527)
160	-0.03	-0.04(-0.04)	0.01(235)
160	0.0	-0.04(-0.04)	0.04(78.1)
160	0.07	-0.02(-0.02)	0.09(17.1)
160	-0.04	-0.04(-0.04)	0.0(500)
170	-0.06	-0.07(-0.07)	0.01(177)
170	-0.03	-0.06(-0.06)	0.03(56.3)
170	0.05	-0.01(-0.01)	0.06(12.8)
170	-0.07	-0.07(-0.07)	0.0(391)
180	-0.05	-0.06(-0.06)	0.01(235)
180	-0.01	-0.05(-0.05)	0.04(82.2)
180	0.04	-0.01(-0.01)	0.05(10.7)
180	-0.06	-0.06(-0.06)	0.0(497)
190	-0.07	-0.08(-0.08)	0.01(205)
190	-0.03	-0.06(-0.06)	0.03(67.5)
190	0.04	-0.02(-0.02)	0.06(11.0)
190	-0.08	-0.08(-0.08)	0.0(431)
200	-0.07	-0.09(-0.09)	0.01(242)
200	-0.03	-0.08(-0.08)	0.05(92.6)
200	0.05	-0.02(-0.02)	0.07(14.2)
200	-0.08	-0.08(-0.08)	0.0(497)
210	-0.09	-0.1(-0.1)	0.01(167)
210	-0.06	-0.09(-0.09)	0.03(65.5)
210	-0.09	-0.09(-0.09)	0.0(340)
210	0.0	-0.04(-0.04)	0.04(7.25)
220	-0.07	-0.08(-0.08)	0.01(223)
220	-0.04	-0.07(-0.07)	0.04(74.1)
220	-0.07	-0.08(-0.08)	0.0(459)
220	0.03	-0.02(-0.02)	0.05(9.47)
230	-0.04	-0.05(-0.05)	0.01(253)
230	0.0	-0.04(-0.04)	0.05(93.8)
230	-0.04	-0.04(-0.04)	0.0(528)
230	0.08	-0.01(-0.01)	0.09(18.6)
240	-0.05	-0.08(-0.08)	0.03(66.6)
240	-0.08	-0.09(-0.09)	0.01(169)
240	-0.09	-0.09(-0.09)	0.0(353)
240	0.0	-0.02(-0.02)	0.03(5.12)
250	-0.03	-0.07(-0.07)	0.04(83.6)
250	-0.07	-0.08(-0.08)	0.01(216)
250	-0.07	-0.07(-0.07)	0.0(451)
250	0.01	-0.03(-0.03)	0.03(6.3)
260	-0.01	-0.05(-0.05)	0.04(75.7)
260	-0.05	-0.06(-0.06)	0.01(225)
260	-0.05	-0.06(-0.06)	0.0(479)
260	0.03	-0.0(-0.0)	0.03(5.71)
270	-0.06	-0.09(-0.09)	0.03(68.1)
270	-0.07	-0.08(-0.08)	0.01(200)
270	-0.08	-0.08(-0.08)	0.0(429)
270	-0.01	-0.03(-0.03)	0.02(4.33)
280	-0.01	-0.05(-0.05)	0.04(73.3)
280	-0.05	-0.07(-0.07)	0.01(218)
280	-0.06	-0.07(-0.07)	0.0(473)
280	0.01	-0.02(-0.02)	0.02(4.75)
290	-0.05	-0.08(-0.08)	0.03(58.2)
290	-0.07	-0.08(-0.08)	0.01(188)
290	-0.08	-0.08(-0.08)	0.0(417)
290	-0.01	-0.03(-0.03)	0.02(4.1)
300	-0.05	-0.08(-0.08)	0.03(65.8)
300	-0.08	-0.09(-0.09)	0.01(216)
300	-0.08	-0.08(-0.08)	0.0(486)
300	-0.01	-0.03(-0.03)	0.02(4.28)
310	-0.05	-0.07(-0.07)	0.02(41.7)
310	-0.08	-0.09(-0.09)	0.01(138)
310	-0.08	-0.08(-0.08)	0.0(318)
310	-0.01	-0.02(-0.02)	0.01(2.2)
320	-0.07	-0.1(-0.1)	0.03(52.0)
320	-0.1	-0.11(-0.11)	0.01(172)
320	-0.1	-0.1(-0.1)	0.0(399)
320	-0.03	-0.04(-0.04)	0.01(2.37)
330	-0.04	-0.06(-0.06)	0.03(55.3)
330	-0.07	-0.07(-0.07)	0.01(182)
330	-0.07	-0.07(-0.07)	0.0(425)
330	-0.0	-0.01(-0.01)	0.01(2.09)
340	-0.04	-0.07(-0.07)	0.03(54.4)
340	-0.07	-0.08(-0.08)	0.01(178)
340	-0.07	-0.08(-0.08)	0.0(419)
340	-0.01	-0.02(-0.02)	0.01(1.8)
350	-0.07	-0.1(-0.1)	0.03(51.5)
350	-0.1	-0.11(-0.11)	0.01(166)
350	-0.1	-0.1(-0.1)	0.0(391)
350	-0.02	-0.03(-0.03)	0.01(1.59)
360	-0.07	-0.09(-0.09)	0.03(56.8)
360	-0.09	-0.1(-0.1)	0.01(189)
360	-0.09	-0.09(-0.09)	0.0(450)
360	-0.03	-0.04(-0.04)	0.01(1.62)
370	-0.06	-0.08(-0.08)	0.03(55.1)
370	-0.08	-0.09(-0.09)	0.01(176)
370	-0.08	-0.08(-0.08)	0.0(418)
370	-0.02	-0.02(-0.02)	0.01(1.51)
380	-0.09	-0.11(-0.11)	0.02(41.5)
380	-0.11	-0.12(-0.12)	0.01(136)
380	-0.11	-0.11(-0.11)	0.0(325)
380	-0.02	-0.03(-0.03)	0.01(1.17)
390	-0.08	-0.11(-0.11)	0.03(66.8)
390	-0.09	-0.1(-0.1)	0.01(213)
390	-0.09	-0.1(-0.1)	0.0(506)
390	-0.03	-0.03(-0.03)	0.01(1.84)
400	-0.01	-0.04(-0.04)	0.02(49.2)
400	-0.05	-0.06(-0.06)	0.01(157)
400	-0.06	-0.06(-0.06)	0.0(373)
400	-0.0	-0.01(-0.01)	0.01(1.33)
Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 3, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.01, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1640809437'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.01	0.01(0.01)	0.0(755)
Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 3, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 1.0, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1640809437'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 3, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1640809437'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/lr_rate.toml but it doesnt exist
{'toml': 'configs/lr_rate.toml', 'experiment': None, 'layer': 3, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.1, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1640809437'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.38	0.01(0.01)	0.38(755)
0	3.78	0.01(0.01)	3.78(755)
0	0.04	0.01(0.01)	0.04(755)
10	-0.03	-0.04(-0.04)	0.0(554)
10	0.39	-0.01(-0.01)	0.41(81.6)
10	0.02	-0.03(-0.03)	0.05(101)
10	-0.02	-0.04(-0.04)	0.02(437)
20	-0.03	-0.03(-0.03)	0.0(741)
20	0.43	-0.01(-0.01)	0.44(87.2)
20	0.05	-0.03(-0.03)	0.07(143)
20	-0.01	-0.03(-0.03)	0.02(462)
30	-0.03	-0.04(-0.04)	0.0(577)
30	0.32	-0.02(-0.02)	0.34(67.5)
30	0.02	-0.04(-0.04)	0.06(126)
30	-0.02	-0.04(-0.04)	0.02(345)
40	-0.04	-0.04(-0.04)	0.0(595)
40	0.64	-0.0(-0.0)	0.64(128)
40	-0.03	-0.05(-0.05)	0.02(354)
40	0.02	-0.04(-0.04)	0.06(118)
50	-0.05	-0.06(-0.06)	0.0(564)
50	0.45	-0.02(-0.02)	0.47(93.8)
50	-0.04	-0.06(-0.06)	0.02(340)
50	-0.0	-0.06(-0.06)	0.06(124)
60	-0.01	-0.01(-0.01)	0.0(545)
60	0.0	-0.01(-0.01)	0.02(342)
60	0.26	-0.0(-0.0)	0.26(52.9)
60	0.04	-0.02(-0.02)	0.06(116)
70	-0.02	-0.03(-0.03)	0.0(502)
70	-0.01	-0.03(-0.03)	0.02(315)
70	0.35	-0.01(-0.01)	0.37(73.0)
70	0.03	-0.03(-0.03)	0.06(119)
80	-0.04	-0.04(-0.04)	0.0(512)
80	0.29	-0.02(-0.02)	0.3(60.4)
80	-0.02	-0.04(-0.04)	0.02(321)
80	0.02	-0.04(-0.04)	0.06(116)
90	-0.04	-0.04(-0.04)	0.0(462)
90	0.33	0.0(0.0)	0.32(65.0)
90	0.02	-0.03(-0.03)	0.05(104)
90	-0.03	-0.04(-0.04)	0.01(284)
100	-0.05	-0.05(-0.05)	0.0(438)
100	0.4	-0.02(-0.02)	0.43(85.0)
100	0.01	-0.04(-0.04)	0.05(102)
100	-0.03	-0.05(-0.05)	0.01(266)
110	-0.05	-0.05(-0.05)	0.0(487)
110	0.24	-0.03(-0.03)	0.27(53.5)
110	-0.0	-0.06(-0.06)	0.06(111)
110	-0.04	-0.05(-0.05)	0.02(306)
120	-0.03	-0.03(-0.03)	0.0(632)
120	0.26	-0.02(-0.02)	0.28(55.1)
120	0.02	-0.05(-0.05)	0.07(143)
120	-0.02	-0.04(-0.04)	0.02(392)
130	-0.07	-0.07(-0.07)	0.0(496)
130	0.22	-0.05(-0.05)	0.27(54.2)
130	-0.02	-0.08(-0.08)	0.06(125)
130	-0.06	-0.08(-0.08)	0.02(321)
140	-0.07	-0.07(-0.07)	0.0(500)
140	0.15	-0.03(-0.03)	0.18(36.5)
140	0.01	-0.07(-0.07)	0.08(167)
140	-0.06	-0.07(-0.07)	0.02(336)
150	-0.04	-0.04(-0.04)	0.0(529)
150	0.24	-0.02(-0.02)	0.27(53.0)
150	0.02	-0.05(-0.05)	0.07(132)
150	-0.03	-0.05(-0.05)	0.02(352)
160	-0.04	-0.04(-0.04)	0.0(509)
160	0.31	-0.02(-0.02)	0.33(66.4)
160	0.0	-0.05(-0.05)	0.05(102)
160	-0.03	-0.04(-0.04)	0.02(324)
170	-0.06	-0.06(-0.06)	0.0(393)
170	0.2	-0.02(-0.02)	0.22(43.9)
170	-0.0	-0.05(-0.05)	0.05(103)
170	-0.05	-0.06(-0.06)	0.01(243)
180	-0.05	-0.05(-0.05)	0.0(514)
180	0.22	-0.02(-0.02)	0.24(47.4)
180	-0.0	-0.05(-0.05)	0.05(105)
180	-0.04	-0.05(-0.05)	0.02(331)
190	-0.08	-0.08(-0.08)	0.0(445)
190	0.22	-0.02(-0.02)	0.25(49.4)
190	-0.03	-0.08(-0.08)	0.05(98.4)
190	-0.07	-0.08(-0.08)	0.01(289)
200	-0.09	-0.09(-0.09)	0.0(521)
200	0.22	-0.04(-0.04)	0.26(51.4)
200	-0.03	-0.09(-0.09)	0.06(127)
200	-0.08	-0.1(-0.1)	0.02(353)
210	-0.09	-0.09(-0.09)	0.0(358)
210	0.07	-0.05(-0.05)	0.12(23.7)
210	-0.05	-0.09(-0.09)	0.04(81.5)
210	-0.08	-0.09(-0.09)	0.01(249)
220	-0.06	-0.07(-0.07)	0.0(486)
220	0.09	-0.03(-0.03)	0.12(24.1)
220	-0.01	-0.06(-0.06)	0.05(100)
220	-0.05	-0.07(-0.07)	0.02(316)
230	-0.03	-0.03(-0.03)	0.0(554)
230	0.32	-0.02(-0.02)	0.34(67.5)
230	0.02	-0.04(-0.04)	0.06(128)
230	-0.02	-0.04(-0.04)	0.02(343)
240	-0.08	-0.08(-0.08)	0.0(374)
240	0.08	-0.03(-0.03)	0.11(22.0)
240	-0.03	-0.08(-0.08)	0.05(104)
240	-0.07	-0.08(-0.08)	0.01(244)
250	-0.08	-0.08(-0.08)	0.0(479)
250	0.08	-0.04(-0.04)	0.12(24.0)
250	-0.02	-0.09(-0.09)	0.06(124)
250	-0.07	-0.08(-0.08)	0.02(312)
260	-0.06	-0.06(-0.06)	0.0(501)
260	0.08	-0.01(-0.01)	0.09(18.1)
260	-0.0	-0.06(-0.06)	0.05(109)
260	-0.05	-0.07(-0.07)	0.02(315)
270	-0.07	-0.07(-0.07)	0.0(446)
270	0.04	-0.04(-0.04)	0.08(15.9)
270	-0.03	-0.08(-0.08)	0.05(93.0)
270	-0.07	-0.08(-0.08)	0.01(274)
280	-0.06	-0.06(-0.06)	0.0(486)
280	0.08	-0.02(-0.02)	0.1(19.9)
280	0.01	-0.05(-0.05)	0.06(119)
280	-0.05	-0.06(-0.06)	0.01(294)
290	-0.08	-0.08(-0.08)	0.0(422)
290	0.03	-0.04(-0.04)	0.06(12.8)
