Trying to load config file configs/cj_std.toml but it doesnt exist
{'toml': 'configs/cj_std.toml', 'experiment': None, 'layer': 0, 'feature': 1, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470808'}
Loaded pretrained weights.
#i	Loss	VTE	TV
230	0.09	-0.03(-0.03)	0.12(242)
230	0.09	-0.03(-0.03)	0.13(250)
240	0.14	0.01(0.01)	0.13(257)
240	143	0.0(0.0)	143(285557)
240	0.14	0.01(0.01)	0.13(256)
240	0.15	0.01(0.01)	0.14(280)
250	0.09	-0.03(-0.03)	0.12(244)
250	357	0.0(0.0)	357(713831)
250	0.09	-0.03(-0.03)	0.12(244)
250	0.1	-0.03(-0.03)	0.13(265)
260	0.16	0.04(0.04)	0.11(226)
260	316	0.0(0.0)	316(632543)
260	0.15	0.04(0.04)	0.11(221)
260	0.19	0.04(0.04)	0.15(295)
270	0.12	0.01(0.01)	0.11(217)
270	157	-0.0(-0.0)	157(314716)
270	0.12	0.01(0.01)	0.11(219)
270	0.11	0.01(0.01)	0.1(207)
280	0.08	-0.02(-0.02)	0.1(209)
280	21.7	0.0(0.0)	21.7(43383)
280	0.08	-0.02(-0.02)	0.11(213)
280	0.07	-0.03(-0.03)	0.09(189)
290	0.1	0.0(0.0)	0.1(201)
290	124	-0.0(-0.0)	124(247313)
290	0.1	0.0(0.0)	0.1(201)
290	0.1	0.0(0.0)	0.1(198)
300	0.08	0.0(0.0)	0.08(162)
300	33.3	-0.0(-0.0)	33.3(66615)
300	0.08	0.0(0.0)	0.08(160)
300	0.08	-0.0(-0.0)	0.09(171)
310	0.09	0.02(0.02)	0.07(136)
310	8.65	-0.0(-0.0)	8.66(17313)
310	0.09	0.02(0.02)	0.07(139)
310	0.07	0.02(0.02)	0.06(114)
320	0.08	0.02(0.02)	0.06(128)
320	38.2	0.0(0.0)	38.2(76346)
320	0.08	0.02(0.02)	0.06(126)
320	0.09	0.02(0.02)	0.07(150)
330	0.08	0.03(0.03)	0.05(106)
330	7.87	-0.0(-0.0)	7.87(15741)
330	0.08	0.03(0.03)	0.05(107)
330	0.07	0.02(0.02)	0.05(101)
340	0.07	0.02(0.02)	0.04(88.6)
340	40.8	-0.0(-0.0)	40.8(81544)
340	0.07	0.02(0.02)	0.04(89.2)
340	0.07	0.02(0.02)	0.05(91.3)
350	0.04	-0.01(-0.01)	0.04(83.1)
350	49.6	0.0(0.0)	49.6(99113)
350	0.04	-0.01(-0.01)	0.04(83.2)
350	0.04	-0.0(-0.0)	0.04(86.1)
360	0.07	0.04(0.04)	0.03(65.9)
360	13.1	-0.0(-0.0)	13.1(26203)
360	0.07	0.04(0.04)	0.03(66.8)
360	0.06	0.03(0.03)	0.03(57.8)
370	0.0	-0.02(-0.02)	0.03(51.9)
370	0.34	0.0(0.0)	0.34(674)
370	0.0	-0.02(-0.02)	0.03(52.6)
370	0.0	-0.02(-0.02)	0.02(41.3)
380	0.01	-0.01(-0.01)	0.02(42.8)
380	2.6	-0.0(-0.0)	2.61(5216)
380	0.01	-0.01(-0.01)	0.02(42.5)
380	0.01	-0.01(-0.01)	0.02(41.1)
390	-0.02	-0.04(-0.04)	0.02(37.5)
390	0.04	0.0(0.0)	0.04(81.0)
390	-0.02	-0.04(-0.04)	0.02(38.6)
390	-0.01	-0.03(-0.03)	0.01(24.3)
400	0.01	-0.01(-0.01)	0.02(38.4)
400	0.36	-0.0(-0.0)	0.37(735)
400	0.01	-0.01(-0.01)	0.02(38.0)
400	0.01	-0.01(-0.01)	0.02(38.1)
Trying to load config file configs/cj_std.toml but it doesnt exist
{'toml': 'configs/cj_std.toml', 'experiment': None, 'layer': 2, 'feature': 1, 'target': 0, 'seed': 6247423, 'grid': 0.1, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470809'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.33	0.01(0.01)	0.31(628)
Trying to load config file configs/cj_std.toml but it doesnt exist
{'toml': 'configs/cj_std.toml', 'experiment': None, 'layer': 2, 'feature': 1, 'target': 0, 'seed': 6247423, 'grid': 1.0, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470812'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/cj_std.toml but it doesnt exist
{'toml': 'configs/cj_std.toml', 'experiment': None, 'layer': 2, 'feature': 1, 'target': 0, 'seed': 6247423, 'grid': 0.01, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470811'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/cj_std.toml but it doesnt exist
{'toml': 'configs/cj_std.toml', 'experiment': None, 'layer': 2, 'feature': 1, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470810'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.38	0.01(0.01)	0.37(738)
0	0.33	0.01(0.01)	0.31(626)
0	153	0.0(0.0)	153(306948)
10	0.28	0.01(0.01)	0.26(529)
10	612	0.0(0.0)	612(1223519)
10	0.35	0.01(0.01)	0.34(683)
10	0.28	0.01(0.01)	0.26(527)
20	0.24	0.0(0.0)	0.24(477)
20	125	0.0(0.0)	125(249919)
20	0.28	0.01(0.01)	0.27(540)
20	0.24	0.0(0.0)	0.24(472)
30	0.29	0.06(0.06)	0.23(458)
30	201	0.01(0.01)	201(401889)
30	0.29	0.06(0.06)	0.23(463)
30	0.31	0.06(0.06)	0.25(495)
40	0.27	0.02(0.02)	0.25(500)
40	455	0.0(0.0)	455(910338)
40	0.26	0.02(0.02)	0.25(491)
40	0.33	0.01(0.01)	0.31(624)
50	0.27	0.03(0.03)	0.24(489)
50	1143	0.0(0.0)	1143(2285207)
50	0.27	0.03(0.03)	0.24(476)
50	0.37	0.03(0.03)	0.34(685)
60	0.27	0.02(0.02)	0.24(486)
60	243	0.0(0.0)	243(486124)
60	0.27	0.02(0.02)	0.24(488)
60	0.32	0.02(0.02)	0.3(603)
70	0.23	-0.03(-0.03)	0.26(518)
70	259	0.01(0.01)	259(517103)
70	0.23	-0.03(-0.03)	0.26(525)
70	0.23	-0.03(-0.03)	0.26(529)
80	0.25	0.02(0.02)	0.23(466)
80	768	-0.0(-0.0)	768(1535949)
80	0.25	0.02(0.02)	0.23(454)
80	0.34	0.03(0.03)	0.32(630)
90	0.32	0.06(0.06)	0.26(517)
90	415	0.0(0.0)	415(830978)
90	0.31	0.06(0.06)	0.25(509)
90	0.36	0.07(0.07)	0.29(583)
100	0.25	0.0(0.0)	0.25(500)
100	188	0.0(0.0)	188(375532)
100	0.25	0.0(0.0)	0.24(484)
100	0.31	0.01(0.01)	0.3(608)
110	0.2	-0.02(-0.02)	0.22(436)
110	105	-0.0(-0.0)	105(209423)
110	0.21	-0.02(-0.02)	0.22(445)
110	0.18	-0.03(-0.03)	0.21(423)
120	0.22	-0.02(-0.02)	0.23(467)
120	926	-0.0(-0.0)	926(1851820)
120	0.21	-0.02(-0.02)	0.23(455)
120	0.28	-0.03(-0.03)	0.31(621)
130	0.24	-0.01(-0.01)	0.26(510)
130	325	0.01(0.01)	325(650781)
130	0.24	-0.02(-0.02)	0.26(517)
130	0.29	-0.0(-0.0)	0.29(578)
140	0.21	-0.01(-0.01)	0.22(447)
140	329	-0.0(-0.0)	329(658946)
140	0.21	-0.01(-0.01)	0.22(437)
140	0.28	0.01(0.01)	0.27(548)
150	0.23	0.01(0.01)	0.22(448)
150	0.23	0.01(0.01)	0.22(446)
150	0.28	0.01(0.01)	0.27(534)
150	381	0.0(0.0)	381(762586)
160	0.24	0.02(0.02)	0.22(448)
160	0.24	0.02(0.02)	0.23(454)
160	0.22	0.01(0.01)	0.21(414)
160	273	0.01(0.01)	273(546023)
170	0.23	0.01(0.01)	0.22(432)
170	0.23	0.01(0.01)	0.22(440)
170	0.26	0.02(0.02)	0.24(472)
170	385	0.0(0.0)	385(769131)
180	0.21	-0.0(-0.0)	0.21(418)
180	0.21	-0.0(-0.0)	0.21(422)
180	0.19	-0.01(-0.01)	0.2(395)
180	72.6	0.01(0.01)	72.6(145124)
190	0.25	0.04(0.04)	0.21(418)
190	0.27	0.04(0.04)	0.23(452)
190	0.25	0.04(0.04)	0.21(415)
190	525	-0.0(-0.0)	525(1049452)
200	0.17	-0.03(-0.03)	0.2(401)
200	0.21	-0.03(-0.03)	0.23(463)
200	0.17	-0.03(-0.03)	0.2(394)
200	590	-0.0(-0.0)	590(1179502)
210	0.21	0.01(0.01)	0.2(393)
210	0.29	0.03(0.03)	0.26(522)
210	0.21	0.01(0.01)	0.19(384)
210	438	-0.0(-0.0)	438(876785)
220	0.17	-0.02(-0.02)	0.19(385)
220	0.21	-0.03(-0.03)	0.25(491)
220	0.17	-0.02(-0.02)	0.19(373)
220	1363	-0.0(-0.0)	1363(2726432)
230	0.19	0.0(0.0)	0.19(377)
230	0.2	0.01(0.01)	0.19(382)
230	0.19	0.0(0.0)	0.19(379)
230	242	0.0(0.0)	242(483046)
240	0.2	0.02(0.02)	0.18(367)
240	0.23	0.03(0.03)	0.19(389)
240	0.2	0.02(0.02)	0.18(369)
240	143	0.0(0.0)	143(285038)
250	0.17	-0.01(-0.01)	0.18(360)
250	0.18	-0.02(-0.02)	0.2(407)
250	0.17	-0.01(-0.01)	0.18(359)
250	356	0.0(0.0)	356(712095)
260	0.18	0.02(0.02)	0.17(333)
260	0.23	0.03(0.03)	0.2(403)
260	0.18	0.01(0.01)	0.16(328)
260	317	0.01(0.01)	317(634322)
270	0.18	0.02(0.02)	0.16(315)
270	0.16	0.03(0.03)	0.13(264)
270	0.18	0.02(0.02)	0.16(323)
270	157	-0.0(-0.0)	157(313469)
280	0.14	-0.02(-0.02)	0.16(319)
280	0.13	-0.01(-0.01)	0.14(280)
280	0.14	-0.02(-0.02)	0.16(315)
280	21.6	0.01(0.01)	21.6(43257)
290	0.13	-0.01(-0.01)	0.14(283)
290	0.13	-0.01(-0.01)	0.13(269)
290	0.13	-0.01(-0.01)	0.14(279)
290	123	0.0(0.0)	123(246507)
300	0.11	-0.03(-0.03)	0.14(287)
300	0.12	-0.01(-0.01)	0.13(270)
300	0.11	-0.03(-0.03)	0.14(287)
300	33.4	0.0(0.0)	33.4(66865)
310	0.09	-0.03(-0.03)	0.12(241)
310	0.08	-0.01(-0.01)	0.09(179)
310	0.09	-0.03(-0.03)	0.12(243)
310	8.72	0.0(0.0)	8.72(17436)
320	0.08	-0.04(-0.04)	0.13(257)
320	0.13	-0.02(-0.02)	0.15(297)
320	0.08	-0.05(-0.05)	0.12(249)
320	38.2	0.0(0.0)	38.2(76405)
330	0.07	-0.04(-0.04)	0.1(209)
330	0.07	-0.03(-0.03)	0.09(189)
330	0.07	-0.04(-0.04)	0.11(215)
330	7.85	0.0(0.0)	7.85(15702)
340	0.07	-0.03(-0.03)	0.1(207)
340	0.07	-0.02(-0.02)	0.09(179)
340	0.07	-0.03(-0.03)	0.1(203)
340	40.8	-0.0(-0.0)	40.8(81581)
350	0.03	-0.05(-0.05)	0.08(170)
350	0.05	-0.04(-0.04)	0.09(181)
350	0.03	-0.05(-0.05)	0.08(170)
350	49.1	0.0(0.0)	49.1(98149)
360	0.01	-0.06(-0.06)	0.07(148)
360	0.0	-0.06(-0.06)	0.06(124)
360	0.01	-0.06(-0.06)	0.07(149)
360	13.2	-0.0(-0.0)	13.2(26319)
370	0.0	-0.05(-0.05)	0.06(113)
370	0.01	-0.03(-0.03)	0.05(91.8)
370	0.0	-0.05(-0.05)	0.06(114)
370	0.34	0.0(0.0)	0.34(686)
380	0.01	-0.03(-0.03)	0.05(95.9)
380	0.03	-0.02(-0.02)	0.05(92.6)
380	0.01	-0.03(-0.03)	0.05(93.7)
380	2.62	0.0(0.0)	2.62(5237)
390	-0.03	-0.07(-0.07)	0.04(81.8)
390	-0.03	-0.05(-0.05)	0.03(54.2)
390	-0.03	-0.07(-0.07)	0.04(83.3)
390	0.04	-0.01(-0.01)	0.05(91.6)
400	-0.0	-0.05(-0.05)	0.04(83.9)
400	0.02	-0.02(-0.02)	0.04(86.3)
400	-0.01	-0.05(-0.05)	0.04(81.9)
400	0.36	-0.0(-0.0)	0.37(732)
Trying to load config file configs/cj_std.toml but it doesnt exist
{'toml': 'configs/cj_std.toml', 'experiment': None, 'layer': 4, 'feature': 1, 'target': 0, 'seed': 6247423, 'grid': 1.0, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470813'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.39	0.02(0.02)	0.37(738)
Trying to load config file configs/cj_std.toml but it doesnt exist
{'toml': 'configs/cj_std.toml', 'experiment': None, 'layer': 4, 'feature': 1, 'target': 0, 'seed': 6247423, 'grid': 0.1, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470813'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/cj_std.toml but it doesnt exist
{'toml': 'configs/cj_std.toml', 'experiment': None, 'layer': 4, 'feature': 1, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470813'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/cj_std.toml but it doesnt exist
{'toml': 'configs/cj_std.toml', 'experiment': None, 'layer': 4, 'feature': 1, 'target': 0, 'seed': 6247423, 'grid': 0.01, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470813'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.33	0.02(0.02)	0.31(628)
0	153	0.01(0.01)	153(306948)
0	0.33	0.02(0.02)	0.31(626)
10	0.4	0.03(0.03)	0.37(742)
10	0.33	0.02(0.02)	0.31(618)
10	612	0.01(0.01)	612(1223291)
10	0.32	0.02(0.02)	0.3(600)
20	0.3	-0.02(-0.02)	0.31(628)
20	0.23	-0.02(-0.02)	0.25(507)
20	125	0.01(0.01)	125(250684)
20	0.23	-0.02(-0.02)	0.25(507)
30	0.31	0.05(0.05)	0.25(510)
30	0.28	0.04(0.04)	0.24(479)
30	201	0.01(0.01)	201(402506)
30	0.28	0.04(0.04)	0.24(485)
40	0.31	-0.0(-0.0)	0.32(636)
40	455	0.0(0.0)	455(909563)
40	0.27	-0.0(-0.0)	0.27(540)
40	0.26	-0.0(-0.0)	0.26(526)
50	0.4	0.03(0.03)	0.37(734)
50	1141	0.0(0.0)	1141(2282522)
50	0.3	0.03(0.03)	0.26(527)
50	0.29	0.03(0.03)	0.26(519)
60	0.37	0.03(0.03)	0.34(671)
60	243	0.01(0.01)	243(486592)
60	0.33	0.03(0.03)	0.3(600)
60	0.33	0.03(0.03)	0.29(585)
70	0.24	-0.03(-0.03)	0.27(544)
70	258	0.02(0.02)	258(516830)
70	0.22	-0.03(-0.03)	0.25(506)
70	0.23	-0.03(-0.03)	0.26(517)
80	0.32	0.02(0.02)	0.3(607)
80	769	-0.0(-0.0)	769(1537043)
80	0.27	0.02(0.02)	0.25(500)
80	0.27	0.02(0.02)	0.25(504)
90	0.34	0.03(0.03)	0.3(603)
90	416	0.0(0.0)	416(832142)
90	0.3	0.03(0.03)	0.27(539)
90	0.3	0.03(0.03)	0.27(543)
100	0.34	0.01(0.01)	0.33(656)
100	188	0.0(0.0)	188(376572)
100	0.28	0.01(0.01)	0.27(542)
100	0.27	0.01(0.01)	0.27(530)
110	0.18	-0.03(-0.03)	0.22(431)
110	104	-0.0(-0.0)	104(208137)
110	0.2	-0.02(-0.02)	0.22(432)
110	0.2	-0.02(-0.02)	0.22(441)
120	0.25	-0.05(-0.05)	0.3(593)
120	926	0.0(0.0)	926(1851332)
120	0.21	-0.03(-0.03)	0.25(492)
120	0.21	-0.03(-0.03)	0.24(481)
130	0.3	0.01(0.01)	0.3(592)
130	326	0.01(0.01)	326(651161)
130	0.27	-0.01(-0.01)	0.28(563)
130	0.27	-0.01(-0.01)	0.28(558)
140	0.28	-0.0(-0.0)	0.29(578)
140	329	0.0(0.0)	329(658136)
140	0.24	-0.01(-0.01)	0.26(517)
140	0.24	-0.01(-0.01)	0.26(512)
150	0.27	0.01(0.01)	0.26(529)
150	0.23	-0.01(-0.01)	0.24(482)
150	381	0.01(0.01)	381(762251)
150	0.23	-0.01(-0.01)	0.24(477)
160	0.24	-0.01(-0.01)	0.25(499)
160	0.26	-0.01(-0.01)	0.27(543)
160	273	0.01(0.01)	273(546232)
160	0.26	-0.01(-0.01)	0.27(540)
170	0.25	-0.01(-0.01)	0.26(517)
170	0.2	-0.03(-0.03)	0.23(458)
170	385	0.01(0.01)	385(769350)
170	0.2	-0.03(-0.03)	0.23(463)
180	0.2	-0.01(-0.01)	0.21(425)
180	0.22	-0.01(-0.01)	0.23(469)
180	72.2	0.01(0.01)	72.2(144420)
180	0.23	-0.01(-0.01)	0.24(483)
190	0.22	0.0(0.0)	0.22(443)
190	0.17	-0.02(-0.02)	0.19(386)
190	527	0.0(0.0)	527(1053772)
190	0.17	-0.02(-0.02)	0.2(391)
200	0.24	-0.0(-0.0)	0.24(478)
200	0.2	-0.02(-0.02)	0.22(434)
200	586	0.0(0.0)	586(1172442)
200	0.2	-0.02(-0.02)	0.22(439)
210	0.31	0.03(0.03)	0.28(557)
210	0.24	0.01(0.01)	0.23(462)
210	436	-0.01(-0.01)	436(871559)
210	0.23	0.0(0.0)	0.23(464)
220	0.23	-0.05(-0.05)	0.27(546)
220	0.16	-0.04(-0.04)	0.19(389)
220	1364	-0.0(-0.0)	1364(2727390)
220	0.15	-0.04(-0.04)	0.19(385)
230	0.17	-0.02(-0.02)	0.19(373)
230	0.16	-0.03(-0.03)	0.2(395)
230	241	0.01(0.01)	241(482560)
230	0.17	-0.03(-0.03)	0.2(403)
240	0.21	0.01(0.01)	0.2(400)
240	0.17	-0.01(-0.01)	0.18(362)
240	142	0.0(0.0)	142(284816)
240	0.17	-0.02(-0.02)	0.18(370)
250	0.2	-0.03(-0.03)	0.23(461)
250	0.15	-0.04(-0.04)	0.19(388)
250	359	0.01(0.01)	359(717068)
250	0.15	-0.04(-0.04)	0.19(389)
260	0.24	0.01(0.01)	0.22(449)
260	0.17	-0.02(-0.02)	0.19(377)
260	317	0.01(0.01)	317(634342)
260	0.16	-0.03(-0.03)	0.18(366)
270	0.15	-0.01(-0.01)	0.16(321)
270	0.14	-0.04(-0.04)	0.18(361)
270	157	0.0(0.0)	157(313106)
270	0.15	-0.04(-0.04)	0.19(383)
280	0.08	-0.06(-0.06)	0.13(266)
280	21.6	0.01(0.01)	21.6(43182)
280	0.12	-0.06(-0.06)	0.18(358)
280	0.13	-0.06(-0.06)	0.19(378)
290	0.09	-0.06(-0.06)	0.14(289)
290	123	0.01(0.01)	123(246560)
290	0.08	-0.08(-0.08)	0.17(332)
290	0.09	-0.08(-0.08)	0.17(341)
300	0.1	-0.05(-0.05)	0.15(307)
300	33.4	0.01(0.01)	33.4(66799)
300	0.1	-0.08(-0.08)	0.17(349)
300	0.09	-0.09(-0.09)	0.17(344)
310	0.05	-0.07(-0.07)	0.12(244)
310	0.06	-0.09(-0.09)	0.16(310)
310	8.75	0.01(0.01)	8.75(17492)
310	0.07	-0.09(-0.09)	0.16(316)
320	0.09	-0.06(-0.06)	0.15(293)
320	0.02	-0.12(-0.12)	0.14(277)
320	38.4	0.01(0.01)	38.4(76836)
320	0.02	-0.12(-0.12)	0.14(277)
330	0.04	-0.09(-0.09)	0.13(257)
330	0.02	-0.11(-0.11)	0.13(256)
330	7.82	0.01(0.01)	7.82(15634)
330	0.02	-0.11(-0.11)	0.13(259)
340	0.03	-0.07(-0.07)	0.1(192)
340	-0.01	-0.12(-0.12)	0.1(206)
340	41.0	-0.0(-0.0)	41.0(81919)
340	-0.01	-0.12(-0.12)	0.11(213)
350	0.01	-0.09(-0.09)	0.1(208)
350	-0.04	-0.14(-0.14)	0.1(194)
350	49.6	0.01(0.01)	49.6(99152)
350	-0.04	-0.14(-0.14)	0.1(195)
360	-0.07	-0.15(-0.15)	0.08(151)
360	-0.09	-0.17(-0.17)	0.08(161)
360	13.2	0.01(0.01)	13.2(26338)
360	-0.09	-0.17(-0.17)	0.08(162)
370	-0.03	-0.09(-0.09)	0.06(112)
370	-0.05	-0.12(-0.12)	0.07(137)
370	0.34	0.01(0.01)	0.33(665)
370	-0.06	-0.12(-0.12)	0.07(138)
380	-0.0	-0.06(-0.06)	0.06(118)
380	-0.04	-0.1(-0.1)	0.06(119)
380	2.61	0.0(0.0)	2.61(5212)
380	-0.04	-0.1(-0.1)	0.06(116)
390	-0.09	-0.13(-0.13)	0.04(70.9)
390	-0.11	-0.16(-0.16)	0.05(103)
390	0.03	-0.01(-0.01)	0.04(79.7)
390	-0.11	-0.16(-0.16)	0.05(104)
400	0.02	-0.04(-0.04)	0.06(114)
400	0.38	-0.0(-0.0)	0.38(766)
400	-0.04	-0.09(-0.09)	0.05(106)
400	-0.05	-0.1(-0.1)	0.05(103)
Trying to load config file configs/cj_std.toml but it doesnt exist
{'toml': 'configs/cj_std.toml', 'experiment': None, 'layer': 6, 'feature': 1, 'target': 0, 'seed': 6247423, 'grid': 0.01, 'lr': 0.1, 'network': 35, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470814'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/cj_std.toml but it doesnt exist
