Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 1.0, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470832'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.1, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470832'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470832'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 100.0, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470832'}
Loaded pretrained weights.
#i	Loss	VTE	TV
130	0.15	-0.0(-0.0)	0.15(303)
130	0.04	0.01(0.01)	0.03(552)
130	0.46	0.02(0.02)	0.45(89.4)
130	3.4	0.08(0.08)	3.31(66.2)
140	0.13	0.01(0.01)	0.13(250)
140	0.04	0.01(0.01)	0.02(458)
140	0.37	0.03(0.03)	0.34(67.2)
140	2.96	0.09(0.09)	2.87(57.4)
150	0.13	-0.06(-0.06)	0.19(378)
150	0.02	-0.02(-0.02)	0.03(630)
150	0.43	-0.04(-0.04)	0.47(95.0)
150	3.43	0.0(0.0)	3.43(68.5)
160	0.09	-0.04(-0.04)	0.14(271)
160	0.01	-0.02(-0.02)	0.03(511)
160	0.39	0.0(0.0)	0.39(78.7)
160	2.85	0.04(0.04)	2.81(56.1)
170	0.11	-0.05(-0.05)	0.16(320)
170	0.01	-0.02(-0.02)	0.03(572)
170	0.36	-0.02(-0.02)	0.38(75.2)
170	2.92	0.06(0.06)	2.86(57.2)
180	0.04	-0.07(-0.07)	0.11(227)
180	-0.05	-0.07(-0.07)	0.02(383)
180	0.32	-0.01(-0.01)	0.33(65.3)
180	1.21	0.05(0.05)	1.16(23.2)
190	-0.03	-0.14(-0.14)	0.11(222)
190	-0.1	-0.13(-0.13)	0.02(418)
190	0.34	-0.05(-0.05)	0.39(78.0)
190	2.22	-0.03(-0.03)	2.25(45.0)
200	0.1	-0.04(-0.04)	0.14(282)
200	0.0	-0.02(-0.02)	0.03(522)
200	0.35	-0.02(-0.02)	0.37(74.6)
200	1.28	0.07(0.07)	1.22(24.3)
210	0.13	-0.01(-0.01)	0.15(290)
210	0.01	-0.02(-0.02)	0.03(521)
210	0.4	-0.01(-0.01)	0.41(81.1)
210	1.42	0.05(0.05)	1.37(27.5)
220	0.17	0.02(0.02)	0.15(296)
220	0.05	0.02(0.02)	0.03(533)
220	0.5	0.05(0.05)	0.45(89.5)
220	1.39	0.12(0.12)	1.26(25.3)
230	0.12	-0.02(-0.02)	0.14(277)
230	0.03	0.01(0.01)	0.03(518)
230	0.49	0.02(0.02)	0.47(93.5)
230	1.36	0.07(0.07)	1.28(25.6)
240	0.06	-0.07(-0.07)	0.12(249)
240	-0.02	-0.05(-0.05)	0.02(466)
240	0.25	-0.06(-0.06)	0.31(62.0)
240	0.88	0.05(0.05)	0.83(16.7)
250	0.04	-0.07(-0.07)	0.11(221)
250	-0.04	-0.06(-0.06)	0.02(462)
250	0.19	-0.03(-0.03)	0.21(42.9)
250	0.99	0.06(0.06)	0.93(18.7)
260	0.01	-0.09(-0.09)	0.11(210)
260	-0.06	-0.08(-0.08)	0.02(436)
260	0.17	-0.07(-0.07)	0.24(47.5)
260	1.02	0.04(0.04)	0.98(19.6)
270	0.04	-0.05(-0.05)	0.09(186)
270	-0.02	-0.04(-0.04)	0.02(350)
270	0.2	-0.02(-0.02)	0.22(44.0)
270	0.69	0.07(0.07)	0.62(12.3)
280	0.09	-0.02(-0.02)	0.11(213)
280	0.01	-0.01(-0.01)	0.02(440)
280	0.26	0.04(0.04)	0.23(45.4)
280	0.82	0.11(0.11)	0.71(14.2)
290	0.01	-0.07(-0.07)	0.08(159)
290	-0.04	-0.06(-0.06)	0.02(340)
290	0.17	-0.01(-0.01)	0.18(35.7)
290	0.6	0.07(0.07)	0.53(10.7)
300	0.05	-0.05(-0.05)	0.1(198)
300	-0.01	-0.03(-0.03)	0.02(430)
300	0.17	-0.01(-0.01)	0.18(35.7)
300	0.74	0.05(0.05)	0.69(13.7)
310	-0.1	-0.17(-0.17)	0.07(148)
310	-0.12	-0.13(-0.13)	0.02(327)
310	0.01	-0.14(-0.14)	0.15(30.7)
310	0.43	-0.0(-0.0)	0.43(8.63)
320	0.01	-0.07(-0.07)	0.08(159)
320	-0.05	-0.07(-0.07)	0.02(367)
320	0.14	-0.04(-0.04)	0.18(36.2)
320	0.44	0.05(0.05)	0.39(7.75)
330	-0.07	-0.13(-0.13)	0.06(115)
330	-0.09	-0.11(-0.11)	0.01(280)
330	0.04	-0.06(-0.06)	0.1(20.7)
330	0.23	0.05(0.05)	0.18(3.68)
340	-0.06	-0.12(-0.12)	0.06(122)
340	-0.09	-0.1(-0.1)	0.02(303)
340	0.03	-0.08(-0.08)	0.1(20.7)
340	0.21	0.01(0.01)	0.2(3.98)
350	0.03	-0.04(-0.04)	0.06(126)
350	-0.02	-0.04(-0.04)	0.02(329)
350	0.12	0.02(0.02)	0.1(19.8)
350	0.2	0.1(0.1)	0.11(2.11)
360	-0.08	-0.13(-0.13)	0.06(115)
360	-0.1	-0.11(-0.11)	0.01(292)
360	0.0	-0.09(-0.09)	0.09(18.6)
360	0.12	0.04(0.04)	0.08(1.61)
370	-0.01	-0.07(-0.07)	0.06(115)
370	-0.05	-0.06(-0.06)	0.02(313)
370	0.08	-0.01(-0.01)	0.09(17.7)
370	0.15	0.1(0.1)	0.06(1.13)
380	0.0	-0.06(-0.06)	0.06(126)
380	-0.03	-0.05(-0.05)	0.02(327)
380	0.09	-0.01(-0.01)	0.1(20.2)
380	0.12	0.08(0.08)	0.05(0.92)
390	-0.11	-0.18(-0.18)	0.07(131)
390	-0.13	-0.15(-0.15)	0.02(355)
390	-0.02	-0.13(-0.13)	0.1(20.4)
390	0.05	0.01(0.01)	0.05(0.95)
400	0.15	0.09(0.09)	0.07(134)
400	0.07	0.06(0.06)	0.02(355)
400	0.24	0.13(0.13)	0.11(21.3)
400	0.2	0.15(0.15)	0.05(0.96)
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 2, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.01, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470833'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	0.16	0.16(0.16)	0.0(712)
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 5, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470833'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 5, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 100.0, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470833'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 5, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 1.0, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470833'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	3.7	0.14(0.14)	3.56(712)
0	35.7	0.14(0.14)	35.6(712)
0	0.5	0.14(0.14)	0.36(712)
10	0.07	0.07(0.07)	0.0(731)
10	0.88	-0.03(-0.03)	0.91(182)
10	3.23	0.07(0.07)	3.16(63.1)
10	0.19	-0.04(-0.04)	0.23(469)
20	0.05	0.05(0.05)	0.0(795)
20	0.87	-0.0(-0.0)	0.88(176)
20	4.6	0.06(0.06)	4.54(90.8)
20	0.21	0.0(0.0)	0.21(416)
30	0.08	0.08(0.08)	0.0(719)
30	0.92	-0.01(-0.01)	0.93(186)
30	3.37	0.04(0.04)	3.33(66.6)
30	0.2	-0.0(-0.0)	0.2(405)
40	0.03	0.03(0.03)	0.0(712)
40	0.55	-0.16(-0.16)	0.71(142)
40	3.47	-0.08(-0.08)	3.55(71.0)
40	0.09	-0.1(-0.1)	0.19(384)
50	0.09	0.08(0.08)	0.0(939)
50	0.99	-0.05(-0.05)	1.03(207)
50	3.89	0.02(0.02)	3.88(77.5)
50	0.2	-0.04(-0.04)	0.24(471)
60	0.03	0.03(0.03)	0.0(675)
60	0.58	-0.1(-0.1)	0.68(136)
60	3.42	-0.0(-0.0)	3.42(68.3)
60	0.09	-0.08(-0.08)	0.17(340)
70	0.04	0.03(0.03)	0.0(622)
70	0.54	-0.1(-0.1)	0.64(129)
70	2.29	-0.03(-0.03)	2.33(46.6)
70	0.07	-0.1(-0.1)	0.17(332)
80	0.02	0.02(0.02)	0.0(619)
80	0.51	-0.22(-0.22)	0.74(147)
80	2.19	-0.1(-0.1)	2.29(45.8)
80	0.0	-0.17(-0.17)	0.18(354)
90	0.04	0.03(0.03)	0.0(711)
90	0.72	-0.05(-0.05)	0.77(155)
90	3.34	0.02(0.02)	3.32(66.5)
90	0.14	-0.05(-0.05)	0.19(388)
100	-0.01	-0.01(-0.01)	0.0(546)
100	0.5	-0.17(-0.17)	0.68(135)
100	1.94	-0.1(-0.1)	2.04(40.9)
110	0.01	0.01(0.01)	0.0(609)
100	-0.01	-0.15(-0.15)	0.15(292)
120	0.05	0.05(0.05)	0.0(656)
110	0.65	-0.1(-0.1)	0.76(152)
110	2.87	0.02(0.02)	2.84(56.9)
110	0.06	-0.1(-0.1)	0.16(311)
130	0.02	0.02(0.02)	0.0(625)
120	0.54	-0.12(-0.12)	0.66(132)
120	2.59	-0.04(-0.04)	2.63(52.6)
120	0.06	-0.1(-0.1)	0.16(324)
140	0.02	0.01(0.01)	0.0(519)
130	0.42	-0.22(-0.22)	0.64(128)
130	3.38	-0.14(-0.14)	3.52(70.4)
130	0.0	-0.16(-0.16)	0.16(321)
150	-0.01	-0.01(-0.01)	0.0(718)
140	0.38	-0.15(-0.15)	0.53(105)
140	2.2	-0.05(-0.05)	2.25(45.1)
140	0.01	-0.12(-0.12)	0.14(276)
160	-0.01	-0.01(-0.01)	0.0(579)
150	0.51	-0.26(-0.26)	0.76(153)
150	3.07	-0.25(-0.25)	3.32(66.4)
150	-0.01	-0.2(-0.2)	0.19(378)
170	-0.01	-0.01(-0.01)	0.0(644)
160	0.38	-0.22(-0.22)	0.6(121)
160	2.0	-0.19(-0.19)	2.19(43.8)
160	-0.03	-0.18(-0.18)	0.15(296)
180	-0.06	-0.06(-0.06)	0.0(437)
170	0.42	-0.19(-0.19)	0.61(121)
170	3.12	-0.08(-0.08)	3.2(64.0)
170	0.01	-0.16(-0.16)	0.16(329)
190	-0.11	-0.12(-0.12)	0.0(482)
180	0.22	-0.27(-0.27)	0.49(98.4)
180	1.58	-0.05(-0.05)	1.63(32.7)
180	-0.19	-0.3(-0.3)	0.11(228)
200	-0.02	-0.02(-0.02)	0.0(605)
190	0.2	-0.35(-0.35)	0.55(109)
210	-0.01	-0.02(-0.02)	0.0(611)
190	1.75	-0.16(-0.16)	1.91(38.2)
190	-0.26	-0.38(-0.38)	0.12(248)
220	0.03	0.02(0.02)	0.0(623)
200	0.32	-0.24(-0.24)	0.56(112)
200	1.43	-0.09(-0.09)	1.52(30.4)
200	-0.05	-0.21(-0.21)	0.16(311)
230	0.02	0.01(0.01)	0.0(606)
210	0.46	-0.19(-0.19)	0.65(129)
210	-0.02	-0.18(-0.18)	0.16(313)
210	1.46	-0.08(-0.08)	1.54(30.9)
240	-0.04	-0.04(-0.04)	0.0(548)
220	0.49	-0.12(-0.12)	0.61(122)
220	0.04	-0.11(-0.11)	0.16(315)
220	1.51	-0.01(-0.01)	1.51(30.3)
250	-0.05	-0.06(-0.06)	0.0(554)
230	0.43	-0.19(-0.19)	0.63(125)
230	-0.03	-0.18(-0.18)	0.15(303)
230	1.45	-0.06(-0.06)	1.51(30.2)
260	-0.07	-0.07(-0.07)	0.0(531)
240	0.16	-0.35(-0.35)	0.51(102)
240	-0.14	-0.28(-0.28)	0.14(278)
240	0.93	-0.17(-0.17)	1.1(22.0)
270	-0.03	-0.04(-0.04)	0.0(429)
250	0.15	-0.24(-0.24)	0.39(78.4)
250	-0.12	-0.25(-0.25)	0.13(258)
250	0.8	-0.05(-0.05)	0.85(17.0)
280	-0.01	-0.01(-0.01)	0.0(549)
260	0.02	-0.4(-0.4)	0.42(83.8)
260	-0.25	-0.37(-0.37)	0.12(242)
260	0.85	-0.15(-0.15)	1.0(20.1)
290	-0.05	-0.05(-0.05)	0.0(432)
270	0.13	-0.26(-0.26)	0.39(77.0)
270	-0.16	-0.25(-0.25)	0.1(197)
300	-0.02	-0.02(-0.02)	0.0(551)
270	0.91	-0.04(-0.04)	0.96(19.2)
310	-0.11	-0.12(-0.12)	0.0(423)
280	0.23	-0.21(-0.21)	0.44(87.7)
280	-0.08	-0.21(-0.21)	0.12(245)
280	0.94	-0.03(-0.03)	0.97(19.4)
320	-0.06	-0.06(-0.06)	0.0(484)
290	-0.01	-0.33(-0.33)	0.32(64.2)
290	-0.24	-0.33(-0.33)	0.09(188)
290	0.71	-0.1(-0.1)	0.81(16.2)
330	-0.09	-0.1(-0.1)	0.0(374)
300	0.1	-0.28(-0.28)	0.39(77.2)
300	-0.14	-0.26(-0.26)	0.11(228)
300	0.76	-0.08(-0.08)	0.84(16.8)
340	-0.09	-0.09(-0.09)	0.0(409)
310	-0.4	-0.49(-0.49)	0.09(177)
310	-0.21	-0.5(-0.5)	0.29(58.0)
310	0.34	-0.21(-0.21)	0.56(11.1)
350	-0.03	-0.03(-0.03)	0.0(449)
320	-0.23	-0.33(-0.33)	0.1(196)
320	0.01	-0.32(-0.32)	0.33(66.0)
320	0.55	-0.1(-0.1)	0.65(13.0)
360	-0.11	-0.11(-0.11)	0.0(397)
330	-0.34	-0.42(-0.42)	0.07(145)
330	-0.17	-0.4(-0.4)	0.23(45.7)
330	0.2	-0.13(-0.13)	0.34(6.74)
370	-0.05	-0.05(-0.05)	0.0(432)
340	-0.31	-0.39(-0.39)	0.08(155)
340	-0.15	-0.39(-0.39)	0.24(47.8)
340	0.22	-0.13(-0.13)	0.35(7.03)
380	-0.04	-0.04(-0.04)	0.0(448)
350	-0.17	-0.25(-0.25)	0.08(165)
350	-0.0	-0.25(-0.25)	0.25(49.9)
350	0.28	-0.03(-0.03)	0.31(6.28)
390	-0.14	-0.14(-0.14)	0.0(489)
360	-0.32	-0.4(-0.4)	0.07(149)
400	0.06	0.06(0.06)	0.0(489)
360	-0.16	-0.38(-0.38)	0.23(45.2)
360	0.16	-0.14(-0.14)	0.3(5.92)
370	-0.22	-0.3(-0.3)	0.08(154)
370	-0.06	-0.29(-0.29)	0.22(44.6)
370	0.24	-0.03(-0.03)	0.27(5.34)
380	-0.2	-0.28(-0.28)	0.08(164)
380	-0.03	-0.28(-0.28)	0.25(49.0)
380	0.23	-0.07(-0.07)	0.3(6.0)
390	-0.37	-0.46(-0.46)	0.09(175)
390	-0.22	-0.47(-0.47)	0.25(50.2)
390	0.16	-0.14(-0.14)	0.3(6.06)
400	0.07	-0.02(-0.02)	0.09(177)
400	0.27	0.01(0.01)	0.26(51.7)
400	0.44	0.13(0.13)	0.31(6.26)
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 8, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 100.0, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470834'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	36.1	0.52(0.52)	35.6(712)
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 5, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.1, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470834'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 8, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 10.0, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470834'}
Loaded pretrained weights.
#i	Loss	VTE	TV
Trying to load config file configs/high.toml but it doesnt exist
{'toml': 'configs/high.toml', 'experiment': None, 'layer': 5, 'feature': 0, 'target': 0, 'seed': 6247423, 'grid': 0.01, 'lr': 0.1, 'network': 34, 'patch': 16, 'sign': 1, 'method': 'in_feat', 'dir': None, 'exp_no': '1642470834'}
Loaded pretrained weights.
#i	Loss	VTE	TV
0	4.08	0.52(0.52)	3.56(712)
0	0.18	0.14(0.14)	0.04(712)
0	0.14	0.14(0.14)	0.0(712)
10	4.06	0.23(0.23)	3.83(76.6)
10	0.01	-0.03(-0.03)	0.04(708)
10	-0.02	-0.03(-0.03)	0.0(734)
10	1.3	0.14(0.14)	1.16(232)
20	0.06	0.02(0.02)	0.04(726)
20	0.03	0.02(0.02)	0.0(774)
20	5.94	0.32(0.32)	5.62(112)
20	1.45	0.24(0.24)	1.21(241)
30	0.02	-0.01(-0.01)	0.03(632)
30	-0.01	-0.01(-0.01)	0.0(680)
30	5.06	0.33(0.33)	4.74(94.7)
30	1.51	0.26(0.26)	1.25(250)
40	-0.06	-0.09(-0.09)	0.03(608)
40	-0.09	-0.09(-0.09)	0.0(657)
40	4.75	0.09(0.09)	4.67(93.3)
40	1.3	0.06(0.06)	1.24(247)
50	0.01	-0.03(-0.03)	0.04(785)
50	-0.02	-0.03(-0.03)	0.0(861)
50	6.07	0.18(0.18)	5.88(118)
50	1.93	0.21(0.21)	1.72(343)
60	-0.04	-0.06(-0.06)	0.03(557)
60	-0.06	-0.06(-0.06)	0.0(615)
60	4.78	0.18(0.18)	4.6(92.0)
60	1.22	0.13(0.13)	1.09(218)
70	-0.06	-0.08(-0.08)	0.03(504)
70	-0.08	-0.08(-0.08)	0.0(554)
70	3.98	0.1(0.1)	3.87(77.5)
70	1.06	-0.01(-0.01)	1.07(214)
80	-0.11	-0.13(-0.13)	0.03(514)
80	-0.13	-0.13(-0.13)	0.0(557)
80	4.37	-0.1(-0.1)	4.47(89.3)
80	1.11	-0.09(-0.09)	1.2(240)
90	-0.02	-0.05(-0.05)	0.03(590)
90	-0.04	-0.05(-0.05)	0.0(639)
90	4.73	0.23(0.23)	4.51(90.2)
100	-0.1	-0.12(-0.12)	0.02(455)
100	-0.11	-0.11(-0.11)	0.0(494)
90	1.38	0.11(0.11)	1.27(254)
110	-0.06	-0.08(-0.08)	0.03(504)
100	4.28	-0.08(-0.08)	4.36(87.1)
110	-0.07	-0.08(-0.08)	0.0(551)
100	0.79	-0.28(-0.28)	1.06(212)
120	-0.05	-0.08(-0.08)	0.03(532)
120	-0.07	-0.07(-0.07)	0.0(587)
110	5.15	0.05(0.05)	5.1(102)
110	1.15	-0.02(-0.02)	1.17(234)
130	-0.1	-0.13(-0.13)	0.03(509)
130	-0.12	-0.13(-0.13)	0.0(561)
120	5.04	0.01(0.01)	5.03(101)
120	1.1	-0.08(-0.08)	1.18(236)
140	-0.08	-0.1(-0.1)	0.02(430)
140	-0.09	-0.1(-0.1)	0.0(472)
130	4.03	-0.11(-0.11)	4.13(82.7)
130	1.02	-0.16(-0.16)	1.18(236)
150	-0.14	-0.17(-0.17)	0.03(593)
150	-0.17	-0.17(-0.17)	0.0(653)
140	3.15	-0.01(-0.01)	3.17(63.3)
140	0.89	-0.06(-0.06)	0.94(189)
160	-0.13	-0.16(-0.16)	0.02(477)
160	-0.15	-0.15(-0.15)	0.0(527)
150	7.71	-0.22(-0.22)	7.93(159)
150	0.62	-0.53(-0.53)	1.15(230)
170	-0.11	-0.14(-0.14)	0.03(526)
170	-0.13	-0.14(-0.14)	0.0(581)
160	3.87	-0.24(-0.24)	4.11(82.2)
160	0.65	-0.36(-0.36)	1.01(202)
180	-0.26	-0.28(-0.28)	0.02(359)
180	-0.27	-0.27(-0.27)	0.0(398)
170	3.27	-0.2(-0.2)	3.48(69.5)
170	0.86	-0.29(-0.29)	1.15(231)
190	-0.34	-0.36(-0.36)	0.02(399)
190	-0.35	-0.35(-0.35)	0.0(445)
180	3.04	-0.21(-0.21)	3.25(65.1)
200	-0.16	-0.19(-0.19)	0.03(501)
180	0.31	-0.5(-0.5)	0.82(163)
200	-0.19	-0.19(-0.19)	0.0(559)
210	-0.14	-0.17(-0.17)	0.03(505)
190	2.73	-0.59(-0.59)	3.32(66.5)
210	-0.16	-0.16(-0.16)	0.0(568)
190	0.09	-0.71(-0.71)	0.81(161)
220	-0.08	-0.11(-0.11)	0.03(511)
220	-0.1	-0.1(-0.1)	0.0(578)
200	2.67	-0.25(-0.25)	2.92(58.4)
200	0.65	-0.37(-0.37)	1.02(205)
230	-0.13	-0.16(-0.16)	0.03(501)
230	-0.15	-0.15(-0.15)	0.0(565)
210	4.01	-0.2(-0.2)	4.2(84.1)
210	0.69	-0.37(-0.37)	1.06(212)
240	-0.23	-0.25(-0.25)	0.02(460)
240	-0.24	-0.25(-0.25)	0.0(521)
220	5.76	0.21(0.21)	5.55(111)
220	1.1	0.04(0.04)	1.07(214)
250	-0.2	-0.22(-0.22)	0.02(464)
250	-0.22	-0.22(-0.22)	0.0(526)
230	4.71	-0.09(-0.09)	4.81(96.1)
230	0.71	-0.32(-0.32)	1.03(207)
260	-0.32	-0.34(-0.34)	0.02(446)
260	-0.33	-0.33(-0.33)	0.0(512)
240	3.04	-0.41(-0.41)	3.44(68.9)
240	0.24	-0.73(-0.73)	0.97(195)
270	-0.21	-0.23(-0.23)	0.02(359)
270	-0.23	-0.23(-0.23)	0.0(415)
250	2.06	-0.23(-0.23)	2.29(45.9)
250	0.39	-0.48(-0.48)	0.86(172)
280	-0.16	-0.19(-0.19)	0.02(463)
280	-0.18	-0.19(-0.19)	0.0(537)
260	1.73	-0.51(-0.51)	2.25(44.9)
260	-0.01	-0.82(-0.82)	0.81(162)
290	-0.28	-0.3(-0.3)	0.02(365)
290	-0.29	-0.29(-0.29)	0.0(427)
300	-0.21	-0.24(-0.24)	0.02(463)
270	2.35	-0.36(-0.36)	2.72(54.4)
270	0.2	-0.48(-0.48)	0.68(136)
300	-0.22	-0.23(-0.23)	0.0(545)
310	-0.42	-0.44(-0.44)	0.02(358)
280	2.84	-0.02(-0.02)	2.86(57.2)
280	0.56	-0.28(-0.28)	0.84(169)
310	-0.42	-0.42(-0.42)	0.0(424)
320	-0.28	-0.3(-0.3)	0.02(414)
290	2.21	-0.23(-0.23)	2.44(48.9)
290	0.13	-0.54(-0.54)	0.66(133)
320	-0.29	-0.3(-0.3)	0.0(493)
330	-0.37	-0.38(-0.38)	0.02(320)
330	-0.37	-0.37(-0.37)	0.0(383)
